Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
CANNON,16118.00,265,23.70%,436,"67,923"
ELLIOTT,16107.00,266,12.20%,197,"132,457"
ROSE,15956.00,267,10.90%,168,"146,924"
HOWELL,15952.00,268,14.60%,249,"109,634"
ANTHONY,15868.00,269,30.40%,580,"52,146"
GLENN,15846.00,270,32.20%,627,"49,241"
GARNER,15844.00,271,22.00%,403,"72,052"
BOONE,15819.00,272,30.60%,587,"51,679"
PITTMAN,15807.00,273,30.00%,573,"52,689"
DICKERSON,15769.00,274,30.90%,602,"51,017"
NORMAN,15749.00,275,24.10%,461,"65,269"
SIMON,15679.00,276,21.00%,383,"74,839"
WHEELER,15624.00,277,12.80%,223,"121,684"
COBB,15450.00,278,24.20%,472,"63,739"
MONROE,15438.00,279,28.90%,567,"53,475"
BARNETT,15347.00,280,16.60%,300,"92,287"
BRANCH,15327.00,281,46.40%,967,"33,040"
CURTIS,15259.00,282,15.40%,280,"98,958"
LYONS,15259.00,282,18.60%,339,"82,258"
MCDANIEL,15131.00,284,17.50%,323,"86,317"
HUBBARD,15101.00,285,22.20%,435,"68,021"
WOODARD,15054.00,286,33.60%,696,"44,830"
LINDSEY,15030.00,287,24.60%,492,"61,199"
PAGE,15020.00,288,18.70%,354,"80,493"
MAYS,14955.00,289,38.40%,809,"38,914"
BOLDEN,14841.00,290,74.10%,1638,"20,015"
RANDOLPH,14820.00,291,37.30%,792,"39,742"
BRADFORD,14726.00,292,28.50%,586,"51,726"
COPELAND,14690.00,293,27.30%,565,"53,771"
PITTS,14665.00,294,30.30%,639,"48,462"
BLAKE,14625.00,295,21.10%,425,"69,279"
SULLIVAN,14620.00,296,6.80%,92,"215,640"
CHANDLER,14545.00,297,19.10%,379,"76,114"
MCCLAIN,14456.00,298,31.70%,688,"45,560"
CARROLL,14412.00,299,11.00%,201,"131,020"
COLLIER,14409.00,300,26.50%,556,"54,414"
