Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
COKER,2438.00,1540,10.80%,1447,"22,636"
AUGUSTINE,2437.00,1541,18.60%,2534,"13,093"
LANDRUM,2437.00,1541,20.60%,2790,"11,851"
BRATHWAITE,2433.00,1543,86.50%,10473,2812
SPIKES,2429.00,1544,55.60%,7063,"4,367"
MANNS,2428.00,1545,41.00%,5414,"5,921"
BUIE,2428.00,1545,43.70%,5721,"5,556"
BASKIN,2426.00,1547,37.10%,4937,"6,537"
PITT,2424.00,1548,28.00%,3755,"8,666"
BETHEL,2423.00,1549,33.30%,4483,"7,285"
BARTLEY,2420.00,1550,15.00%,2055,"16,154"
JEFFERS,2418.00,1551,14.30%,1954,"16,895"
PRATER,2417.00,1552,13.00%,1769,"18,565"
COURTNEY,2411.00,1553,9.00%,1202,"26,668"
BUSSEY,2409.00,1554,34.10%,4595,"7,063"
DIALLO,2409.00,1554,90.50%,10975,2661
ESTES,2408.00,1556,6.70%,880,"35,839"
HAILEY,2407.00,1557,34.30%,4627,"7,008"
LUKE,2406.00,1558,14.10%,1940,"17,016"
STITH,2406.00,1558,47.80%,6250,"5,033"
ROWLAND,2405.00,1560,7.00%,925,"34,498"
FORT,2405.00,1560,30.40%,4151,"7,900"
HIGGS,2404.00,1562,24.00%,3275,"10,026"
HOLLY,2404.00,1562,27.10%,3680,"8,856"
STARLING,2400.00,1564,25.70%,3502,"9,337"
RANKINS,2398.00,1565,69.50%,8762,3450
JASPER,2397.00,1566,26.30%,3576,"9,125"
MALCOLM,2393.00,1567,24.80%,3399,"9,643"
VARNER,2391.00,1568,13.80%,1910,"17,274"
HAMLIN,2388.00,1569,14.60%,2031,"16,358"
SHELL,2388.00,1569,18.20%,2523,"13,143"
MAHONE,2388.00,1569,68.20%,8647,3499
HINSON,2387.00,1572,12.40%,1706,"19,293"
FRASIER,2387.00,1572,30.20%,4149,"7,903"
ARMOUR,2386.00,1574,30.90%,4250,"7,711"
HICKSON,2385.00,1575,44.60%,5929,"5,345"
MCMULLEN,2384.00,1576,11.90%,1642,"19,998"
PARNELL,2383.00,1577,16.90%,2358,"14,069"
BEDFORD,2381.00,1578,27.50%,3764,"8,651"
BRENT,2381.00,1578,32.00%,4408,"7,436"
THAMES,2381.00,1578,33.80%,4604,"7,052"
DOVE,2380.00,1581,16.90%,2351,"14,106"
SUTHERLAND,2379.00,1582,8.40%,1128,"28,417"
JEMISON,2379.00,1582,65.90%,8414,"3,608"
CROWELL,2378.00,1584,13.90%,1931,"17,136"
KYLE,2377.00,1585,13.40%,1861,"17,750"
YANCY,2376.00,1586,53.60%,6977,"4,429"
MCCORD,2372.00,1587,13.80%,1918,"17,216"
MCGRAW,2371.00,1588,11.50%,1592,"20,704"
CORNISH,2368.00,1589,30.00%,4160,"7,887"
MAYNARD,2367.00,1590,6.60%,884,"35,648"
BENDER,2366.00,1591,6.20%,821,"38,464"
HAMM,2362.00,1592,8.90%,1216,"26,392"
LOYD,2358.00,1593,17.60%,2464,"13,422"
SHIRLEY,2356.00,1594,8.60%,1176,"27,300"
SILVER,2356.00,1594,10.70%,1489,"21,956"
ABRAM,2355.00,1596,45.90%,6140,"5,136"
ABBOTT,2354.00,1597,4.60%,588,"51,620"
PEEPLES,2353.00,1598,33.80%,4657,"6,961"
FLOOD,2348.00,1599,14.10%,1998,"16,652"
PEREZ,2345.00,1600,0.50%,29,"488,521"
DOWDY,2345.00,1600,17.70%,2494,"13,249"
MCDANIELS,2337.00,1602,33.80%,4692,"6,907"
MULLEN,2336.00,1603,6.40%,867,"36,442"
DINGLE,2335.00,1604,60.10%,7899,"3,887"
PANNELL,2333.00,1605,28.80%,4022,"8,103"
GAVIN,2331.00,1606,17.20%,2453,"13,515"
CARSWELL,2331.00,1606,38.60%,5308,"6,039"
SANDS,2330.00,1608,12.60%,1787,"18,430"
WARFIELD,2330.00,1608,31.90%,4470,"7,301"
TIBBS,2328.00,1610,33.70%,4690,"6,908"
COSTON,2320.00,1611,48.80%,6580,"4,750"
TOMPKINS,2319.00,1612,9.90%,1385,"23,468"
JACQUES,2319.00,1612,17.90%,2572,"12,942"
SESSION,2318.00,1614,87.30%,10996,2654
FOWLKES,2312.00,1615,53.20%,7098,"4,343"
CLOUD,2310.00,1616,16.50%,2377,"13,985"
MCCASKILL,2309.00,1617,42.20%,5792,"5,466"
KAMARA,2307.00,1618,87.80%,11095,2627
GOFF,2306.00,1619,7.30%,1001,"31,806"
CHANCE,2306.00,1619,17.00%,2441,"13,586"
GERALD,2305.00,1621,46.20%,6281,"4,994"
BUCK,2300.00,1622,5.40%,737,"42,441"
HANNA,2300.00,1622,6.50%,887,"35,599"
CLEMENT,2300.00,1622,9.90%,1398,"23,233"
HARRY,2300.00,1622,26.10%,3703,"8,799"
BILLINGS,2298.00,1626,10.60%,1509,"21,764"
HANEY,2295.00,1627,7.00%,976,"32,644"
BATTLES,2295.00,1627,31.60%,4500,"7,260"
BARBEE,2294.00,1629,21.80%,3149,"10,501"
PETTIGREW,2293.00,1630,30.60%,4379,"7,500"
PETTAWAY,2291.00,1631,91.60%,11536,2500
DESIR,2290.00,1632,82.10%,10557,2788
BAUGH,2289.00,1633,18.80%,2721,"12,152"
GAINEY,2288.00,1634,28.30%,4025,"8,099"
GLADDEN,2283.00,1635,33.00%,4688,"6,909"
KINNEY,2281.00,1636,7.40%,1032,"30,956"
CRUTCHER,2280.00,1637,38.80%,5449,"5,872"
ROZIER,2275.00,1638,54.70%,7388,"4,159"
SPICER,2272.00,1639,12.70%,1846,"17,901"
MANGUM,2267.00,1640,24.50%,3521,"9,271"
MATLOCK,2266.00,1641,18.90%,2754,"12,017"
EADDY,2266.00,1641,72.40%,9526,3130
PRESCOTT,2261.00,1643,13.60%,1995,"16,686"
MIDDLEBROOKS,2261.00,1643,53.10%,7228,"4,257"
RICKETTS,2259.00,1645,18.90%,2777,"11,940"
COFFEY,2258.00,1646,6.40%,894,"35,442"
CAUSEY,2258.00,1646,20.40%,2998,"11,061"
WEATHERSBY,2257.00,1648,63.80%,8567,"3,539"
JEFFERY,2255.00,1649,24.90%,3611,"9,048"
MCCARTHY,2253.00,1650,2.80%,348,"81,035"
MULDROW,2252.00,1651,84.90%,11003,2651
SWEENEY,2251.00,1652,4.40%,591,"51,500"
TYUS,2251.00,1652,76.60%,10103,2939
SINGH,2245.00,1654,3.10%,396,"72,642"
PARSONS,2244.00,1655,3.40%,453,"66,203"
BELLE,2242.00,1656,59.90%,8155,"3,742"
GROVES,2239.00,1657,9.20%,1336,"24,260"
BOATWRIGHT,2234.00,1658,31.60%,4595,"7,063"
DURDEN,2229.00,1659,34.90%,5039,"6,389"
PERDUE,2228.00,1660,14.00%,2085,"15,958"
MCCONNELL,2223.00,1661,5.70%,800,"39,203"
SWEET,2223.00,1661,7.70%,1111,"28,872"
STALEY,2219.00,1663,12.30%,1824,"18,081"
SALES,2217.00,1664,25.40%,3733,"8,725"
WHARTON,2215.00,1665,19.50%,2910,"11,354"
BIVINS,2215.00,1665,41.00%,5875,"5,396"
BRANNON,2213.00,1667,14.10%,2127,"15,640"
GONZALEZ,2212.00,1668,0.40%,23,"597,718"
FARRELL,2212.00,1668,4.30%,599,"51,095"
ASHBY,2212.00,1668,13.20%,1985,"16,723"
WITHERS,2208.00,1671,20.50%,3083,"10,782"
PEEBLES,2207.00,1672,25.80%,3811,"8,540"
STROMAN,2207.00,1672,58.50%,8097,"3,772"
SANCHEZ,2206.00,1674,0.50%,33,"441,242"
MCLENDON,2204.00,1675,27.30%,4039,"8,079"
SHAVERS,2204.00,1675,71.80%,9716,"3,068"
RAMEY,2203.00,1677,10.20%,1526,"21,618"
LINCOLN,2200.00,1678,13.70%,2068,"16,070"
HUGHLEY,2200.00,1678,85.80%,11302,"2,565"
WORTHAM,2198.00,1680,40.80%,5882,"5,387"
LARKINS,2196.00,1681,36.50%,5329,"6,017"
HARDEMAN,2191.00,1682,51.30%,7208,"4,272"
JETT,2190.00,1683,19.40%,2930,"11,275"
JEANPIERRE,2189.00,1684,84.70%,11242,"2,584"
AIKENS,2186.00,1685,49.40%,6989,"4,421"
KEATON,2185.00,1686,26.20%,3918,"8,333"
STARR,2183.00,1687,7.70%,1135,"28,210"
PEACOCK,2180.00,1688,10.30%,1564,"21,106"
EALY,2175.00,1689,50.60%,7163,"4,296"
CURETON,2175.00,1689,50.80%,7190,"4,281"
NEALY,2174.00,1691,56.40%,7959,"3,856"
GADSDEN,2174.00,1691,90.00%,11869,"2,415"
DUCKETT,2173.00,1693,33.30%,4944,"6,524"
GATLING,2172.00,1694,80.40%,10837,"2,700"
WORRELL,2171.00,1695,20.80%,3155,"10,460"
MAYE,2170.00,1696,54.10%,7642,"4,012"
TRIPP,2166.00,1697,10.90%,1653,"19,886"
KIRKWOOD,2166.00,1697,27.20%,4115,"7,977"
LIGON,2164.00,1699,36.80%,5446,"5,879"
COUSINS,2163.00,1700,24.90%,3748,"8,691"
TIDWELL,2159.00,1701,10.40%,1595,"20,681"
DENTON,2158.00,1702,8.00%,1187,"27,112"
MITCHEL,2155.00,1703,35.00%,5209,"6,161"
HUTCHERSON,2153.00,1704,34.00%,5083,"6,336"
WELLINGTON,2152.00,1705,34.40%,5146,"6,257"
LITTLES,2152.00,1705,76.60%,10483,"2,810"
JOE,2151.00,1707,25.70%,3891,"8,382"
ROWELL,2149.00,1708,13.90%,2154,"15,457"
FORDE,2149.00,1708,48.00%,6905,"4,480"
JACOB,2146.00,1710,10.00%,1541,"21,354"
WITCHER,2146.00,1710,43.20%,6312,"4,969"
LATIMER,2143.00,1712,22.10%,3369,"9,705"
ELEY,2141.00,1713,45.80%,6664,"4,675"
NORFLEET,2140.00,1714,54.50%,7817,"3,924"
TRIMBLE,2139.00,1715,13.70%,2138,"15,576"
GOMEZ,2135.00,1716,0.80%,68,"263,590"
CULPEPPER,2135.00,1716,21.20%,3260,"10,061"
SALLEY,2135.00,1716,39.70%,5895,"5,376"
FLEMMING,2134.00,1719,36.00%,5414,"5,921"
MATTOX,2132.00,1720,21.60%,3318,"9,881"
FORTSON,2130.00,1721,52.20%,7522,"4,079"
WOFFORD,2129.00,1722,25.10%,3843,"8,491"
QUALLS,2123.00,1723,18.90%,2948,"11,222"
HYDE,2120.00,1724,7.40%,1121,"28,604"
DAYE,2119.00,1725,61.30%,8754,"3,457"
PORTIS,2116.00,1726,73.90%,10312,"2,863"
SPAIN,2112.00,1727,18.80%,2943,"11,232"
GOOCH,2111.00,1728,19.00%,2984,"11,107"
DUNSTON,2111.00,1728,61.80%,8830,"3,415"
DOBBS,2110.00,1730,11.70%,1829,"18,021"
TOMLIN,2110.00,1730,18.50%,2888,"11,397"
KITCHEN,2107.00,1732,14.60%,2298,"14,478"
SETTLES,2105.00,1733,37.10%,5603,"5,678"
LANDERS,2104.00,1734,11.50%,1802,"18,308"
MCARTHUR,2104.00,1734,17.30%,2721,"12,152"
JEFFERIES,2104.00,1734,42.30%,6306,"4,973"
CHRISTMAS,2102.00,1737,40.40%,6082,"5,204"
WORD,2100.00,1738,35.40%,5410,"5,926"
MCCALLUM,2099.00,1739,21.20%,3316,"9,897"
STEPHEN,2098.00,1740,23.50%,3655,"8,934"
VENABLE,2094.00,1741,20.60%,3234,"10,150"
AVANT,2093.00,1742,41.50%,6243,"5,040"
THIBODEAUX,2092.00,1743,15.80%,2508,"13,199"
CHEEK,2091.00,1744,13.40%,2140,"15,566"
SHIPMAN,2087.00,1745,14.00%,2235,"14,917"
PINKSTON,2084.00,1746,26.50%,4174,"7,871"
FARR,2082.00,1747,10.80%,1709,"19,242"
CATHEY,2082.00,1747,24.40%,3815,"8,538"
BREAUX,2080.00,1749,17.30%,2749,"12,046"
THURMOND,2080.00,1749,36.20%,5550,"5,752"
MCCARTY,2079.00,1751,5.80%,881,"35,718"
ROSSER,2079.00,1751,27.30%,4325,"7,604"
GERMAN,2075.00,1753,14.00%,2260,"14,769"
STROTHER,2075.00,1753,29.60%,4634,"7,001"
TABB,2073.00,1755,49.20%,7292,"4,215"
MCIVER,2072.00,1756,38.90%,5952,"5,326"
WHITTED,2070.00,1757,51.70%,7656,"4,007"
SIMONS,2069.00,1758,8.20%,1281,"25,266"
MARCUS,2068.00,1759,11.90%,1900,"17,360"
GLASPER,2064.00,1760,90.80%,12499,"2,274"
BORDEN,2063.00,1761,13.40%,2171,"15,342"
MALLARD,2062.00,1762,36.80%,5682,"5,602"
LEARY,2060.00,1763,13.60%,2203,"15,127"
PENNY,2058.00,1764,21.40%,3410,"9,615"
SARGENT,2057.00,1765,7.60%,1190,"27,024"
DURR,2056.00,1766,31.20%,4891,"6,594"
BANKSTON,2051.00,1767,30.40%,4789,"6,736"
NARCISSE,2049.00,1768,91.10%,12624,"2,250"
HILLMAN,2048.00,1769,13.30%,2156,"15,448"
DUNHAM,2047.00,1770,9.40%,1506,"21,772"
MCCLARY,2047.00,1770,36.40%,5659,"5,622"
RADFORD,2046.00,1772,16.20%,2636,"12,607"
EASTERLING,2046.00,1772,26.40%,4227,"7,761"
MERCHANT,2044.00,1774,15.20%,2465,"13,421"
RUMPH,2044.00,1774,62.80%,9213,"3,256"
TOMLINSON,2042.00,1776,8.50%,1345,"24,110"
GOVAN,2041.00,1777,71.70%,10375,"2,846"
SNYDER,2040.00,1778,1.30%,144,"159,363"
CALLAWAY,2040.00,1778,15.30%,2481,"13,354"
WHYTE,2039.00,1780,32.40%,5112,"6,298"
WASH,2039.00,1780,39.80%,6157,"5,126"
PEACE,2032.00,1782,23.60%,3781,"8,601"
SHINE,2032.00,1782,33.40%,5263,"6,083"
HEMINGWAY,2030.00,1784,36.40%,5699,"5,581"
FEARS,2030.00,1784,45.10%,6881,"4,503"
MAYERS,2029.00,1786,36.30%,5688,"5,592"
KENNEY,2026.00,1787,7.50%,1184,"27,189"
DEBOSE,2026.00,1787,81.50%,11583,"2,487"
STORY,2024.00,1789,10.70%,1735,"18,935"
CORMIER,2024.00,1789,12.30%,2012,"16,513"
TRUITT,2024.00,1789,21.90%,3526,"9,257"
STYLES,2024.00,1789,31.50%,5008,"6,428"
MARABLE,2017.00,1793,63.70%,9420,"3,166"
RATCLIFF,2014.00,1794,19.70%,3207,"10,237"
FLAGG,2014.00,1794,30.60%,4896,"6,589"
PHIFER,2014.00,1794,37.50%,5897,"5,375"
WILBORN,2014.00,1794,46.10%,7061,"4,368"
KEE,2011.00,1798,21.90%,3557,"9,173"
JULIEN,2010.00,1799,45.70%,7024,"4,399"
DUNSON,2005.00,1800,52.50%,8015,"3,817"
CANNADY,2004.00,1801,41.20%,6442,"4,862"
MAXEY,2001.00,1802,19.10%,3154,"10,461"
FRANCE,2000.00,1803,16.80%,2778,"11,936"
COMER,1999.00,1804,12.00%,2001,"16,619"
FARRAR,1996.00,1805,13.80%,2301,"14,451"
JORDON,1996.00,1805,38.60%,6118,"5,165"
KINARD,1994.00,1807,30.30%,4905,"6,583"
ROBINS,1993.00,1808,18.90%,3139,"10,530"
CHERY,1992.00,1809,79.60%,11523,"2,504"
CEASAR,1992.00,1809,83.80%,12047,"2,377"
MILNER,1989.00,1811,16.90%,2798,"11,790"
WATT,1988.00,1812,13.40%,2246,"14,872"
MENSAH,1988.00,1812,92.30%,13048,"2,153"
OVERSTREET,1987.00,1814,16.40%,2732,"12,121"
NATHAN,1987.00,1814,27.00%,4444,"7,369"
BRONSON,1983.00,1816,18.00%,3022,"11,007"
BARNEY,1979.00,1817,12.70%,2144,"15,556"
LOVING,1979.00,1817,28.30%,4642,"6,987"
WOOLFOLK,1978.00,1819,64.20%,9675,"3,081"
BRAGGS,1978.00,1819,83.40%,12070,"2,372"
RIGGS,1975.00,1821,5.80%,947,"33,868"
APPLEWHITE,1975.00,1821,58.60%,8926,"3,370"
MARK,1970.00,1823,12.40%,2091,"15,916"
ETHERIDGE,1969.00,1824,19.60%,3271,"10,041"
LATIMORE,1968.00,1825,83.30%,12104,"2,363"
MCDADE,1964.00,1826,28.90%,4772,"6,787"
SHEPHARD,1964.00,1826,30.10%,4950,"6,519"
PULLEY,1963.00,1828,24.80%,4134,"7,928"
OGLETREE,1962.00,1829,44.30%,6977,"4,429"
AMBROSE,1959.00,1830,11.70%,1992,"16,697"
DYKES,1959.00,1830,14.10%,2391,"13,891"
BURWELL,1955.00,1832,32.80%,5372,"5,966"
REEDER,1954.00,1833,10.40%,1750,"18,768"
HARDISON,1954.00,1833,24.70%,4146,"7,909"
MCCREE,1954.00,1833,74.50%,11109,"2,622"
WICKS,1952.00,1836,21.20%,3549,"9,190"
NAPIER,1951.00,1837,10.40%,1755,"18,726"
MCCULLUM,1951.00,1837,69.00%,10438,"2,827"
HUFFMAN,1950.00,1839,3.90%,620,"49,737"
NEWSOM,1950.00,1839,17.80%,3040,"10,930"
SWINTON,1950.00,1839,70.30%,10606,"2,773"
WINGFIELD,1948.00,1842,32.10%,5278,"6,065"
LEDBETTER,1947.00,1843,10.10%,1712,"19,222"
ASHE,1947.00,1843,26.00%,4388,"7,485"
GILLARD,1947.00,1843,46.70%,7376,"4,165"
ROBERT,1945.00,1846,16.00%,2730,"12,129"
GALES,1945.00,1846,52.50%,8236,"3,703"
BECKETT,1944.00,1848,17.20%,2916,"11,334"
PETE,1943.00,1849,45.10%,7147,"4,312"
CLANTON,1942.00,1850,25.40%,4291,"7,651"
MATTHEW,1942.00,1850,29.90%,4971,"6,486"
BORDERS,1940.00,1852,22.50%,3775,"8,618"
CROMWELL,1938.00,1853,25.20%,4267,"7,687"
SAYLES,1934.00,1854,35.20%,5776,"5,493"
SMOTHERS,1933.00,1855,27.10%,4569,"7,125"
WIGFALL,1933.00,1855,92.40%,13364,"2,091"
CHRISTIE,1932.00,1857,11.00%,1874,"17,582"
HAILE,1932.00,1857,41.10%,6635,"4,701"
KORNEGAY,1932.00,1857,43.80%,7003,"4,413"
SEWARD,1931.00,1860,19.30%,3292,"9,987"
FLUKER,1931.00,1860,77.00%,11507,"2,509"
BURNSIDE,1930.00,1862,22.80%,3854,"8,470"
HYLTON,1928.00,1863,24.80%,4226,"7,765"
TOOMER,1927.00,1864,70.20%,10683,"2,746"
BLANDING,1922.00,1865,65.20%,10074,"2,950"
ARCENEAUX,1920.00,1866,35.40%,5838,"5,428"
CRUZ,1918.00,1867,0.80%,82,"231,065"
MORAN,1917.00,1868,2.40%,362,"78,546"
ROOKS,1913.00,1869,28.90%,4867,"6,625"
BARNER,1911.00,1870,36.90%,6108,"5,177"
GRAYS,1911.00,1870,85.60%,12705,"2,232"
RAGIN,1910.00,1872,84.10%,12520,"2,270"
HEBERT,1909.00,1873,4.70%,781,"40,283"
HOWZE,1909.00,1873,62.10%,9693,"3,075"
HARDWICK,1907.00,1875,18.50%,3187,"10,324"
LADSON,1905.00,1876,79.00%,11884,"2,412"
AUGUSTE,1905.00,1876,82.50%,12343,"2,309"
GADDIS,1903.00,1878,21.30%,3658,"8,926"
MANSON,1903.00,1878,23.50%,4032,"8,090"
PETTUS,1901.00,1880,38.70%,6373,"4,917"
EMANUEL,1900.00,1881,31.40%,5296,"6,051"
MILL,1899.00,1882,23.50%,4026,"8,095"
BROADWAY,1896.00,1883,29.30%,4986,"6,461"
MCHENRY,1895.00,1884,16.70%,2902,"11,369"
MOSELY,1895.00,1884,61.60%,9684,"3,077"
LEFLORE,1891.00,1886,75.40%,11507,"2,509"
HANKERSON,1888.00,1887,88.50%,13137,"2,134"
PACK,1887.00,1888,10.20%,1772,"18,538"
TORRES,1886.00,1889,0.60%,50,"325,169"
COCKRELL,1884.00,1890,20.00%,3477,"9,397"
WHITEHURST,1883.00,1891,25.90%,4490,"7,268"
BREWINGTON,1883.00,1891,36.70%,6153,"5,128"
BENOIT,1880.00,1893,10.00%,1741,"18,842"
LAYNE,1880.00,1893,14.40%,2537,"13,084"
BOLES,1877.00,1895,12.80%,2274,"14,644"
LITTLETON,1877.00,1895,19.10%,3335,"9,829"
MCGINNIS,1874.00,1897,7.10%,1207,"26,578"
LEON,1873.00,1898,3.00%,483,"62,034"
SANDIFER,1873.00,1898,35.20%,5950,"5,327"
MCCANN,1870.00,1900,5.40%,916,"34,692"
MCGREGOR,1870.00,1900,12.50%,2227,"14,969"
BANNISTER,1869.00,1902,23.00%,4019,"8,110"
PEYTON,1868.00,1903,19.10%,3344,"9,787"
LIDDELL,1867.00,1904,40.80%,6786,"4,579"
STRANGE,1866.00,1905,12.80%,2282,"14,582"
SEYMORE,1863.00,1906,42.60%,7056,"4,370"
GORHAM,1862.00,1907,23.00%,4016,"8,113"
DEAS,1861.00,1908,48.80%,8027,"3,812"
SADDLER,1860.00,1909,47.40%,7813,"3,926"
COWARD,1859.00,1910,31.60%,5443,"5,880"
CAESAR,1859.00,1910,58.10%,9348,"3,199"
HAM,1857.00,1912,11.70%,2103,"15,843"
NORTH,1856.00,1913,9.20%,1623,"20,238"
SHACKELFORD,1856.00,1913,16.30%,2905,"11,367"
CHURCH,1855.00,1915,5.20%,890,"35,539"
CROOM,1854.00,1916,44.40%,7362,"4,171"
TUTT,1853.00,1917,48.40%,8004,"3,826"
SALMON,1851.00,1918,13.90%,2482,"13,328"
IVERY,1851.00,1918,89.40%,13480,"2,070"
BUTCHER,1850.00,1920,8.40%,1478,"22,077"
THROWER,1848.00,1921,38.50%,6518,"4,801"
BASSETT,1845.00,1922,9.20%,1636,"20,032"
PARIS,1843.00,1923,11.00%,1970,"16,813"
DIAZ,1838.00,1924,0.70%,73,"251,772"
ZIMMERMAN,1837.00,1925,2.30%,350,"80,944"
COULTER,1837.00,1925,9.10%,1622,"20,252"
RIDDLE,1835.00,1927,5.60%,975,"32,654"
BOLLING,1835.00,1927,30.60%,5350,"5,995"
LUCKEY,1834.00,1929,36.70%,6278,"4,999"
NAYLOR,1832.00,1930,11.50%,2088,"15,930"
HATTEN,1831.00,1931,34.20%,5912,"5,360"
WELDON,1829.00,1932,13.00%,2367,"14,025"
CULVER,1828.00,1933,10.60%,1915,"17,231"
FEASTER,1828.00,1933,40.60%,6877,"4,507"
CALLENDER,1827.00,1935,34.70%,6015,"5,266"
SPELLER,1826.00,1936,76.80%,12047,"2,377"
FOOTE,1825.00,1937,11.30%,2063,"16,093"
MOISE,1825.00,1937,58.20%,9513,"3,135"
KILPATRICK,1824.00,1939,13.20%,2402,"13,832"
YARBOROUGH,1823.00,1940,27.60%,4890,"6,595"
HOOVER,1822.00,1941,3.20%,532,"56,068"
EADY,1822.00,1941,49.00%,8208,"3,719"
COUSIN,1822.00,1941,61.40%,10018,"2,968"
FLANAGAN,1818.00,1944,6.10%,1079,"29,563"
GOOLSBY,1816.00,1945,24.60%,4435,"7,389"
CHOICE,1816.00,1945,88.40%,13554,"2,055"
WREN,1814.00,1947,16.90%,3092,"10,743"
HUTTON,1812.00,1948,10.10%,1836,"17,961"
RUDD,1811.00,1949,12.80%,2343,"14,167"
BANKHEAD,1809.00,1950,54.30%,9024,"3,331"
SATTERWHITE,1808.00,1951,36.20%,6274,"5,001"
CHARLESTON,1808.00,1951,60.30%,9927,"3,000"
SANTOS,1802.00,1953,1.80%,279,"98,993"
SUMMERVILLE,1802.00,1953,38.00%,6588,"4,744"
SESSOMS,1802.00,1953,47.40%,8044,"3,802"
SCROGGINS,1800.00,1956,19.80%,3590,"9,093"
TUNSTALL,1799.00,1957,49.90%,8426,"3,602"
THREATT,1799.00,1957,54.20%,9050,"3,321"
DELOATCH,1798.00,1959,90.50%,13931,"1,986"
LACKEY,1796.00,1960,10.10%,1862,"17,749"
SIBLEY,1796.00,1960,19.30%,3518,"9,285"
ANDRE,1796.00,1960,21.80%,3950,"8,249"
GHOLSTON,1796.00,1960,78.40%,12418,"2,292"
USHER,1795.00,1964,25.20%,4572,"7,118"
CASTON,1794.00,1965,53.60%,8977,"3,349"
GAGE,1793.00,1966,11.20%,2077,"16,022"
WILLOUGHBY,1793.00,1966,11.50%,2130,"15,622"
WAY,1793.00,1966,12.60%,2334,"14,222"
DILWORTH,1792.00,1969,39.10%,6778,"4,584"
GERMANY,1792.00,1969,50.80%,8583,"3,529"
MORSE,1788.00,1971,4.30%,762,"41,112"
METCALF,1787.00,1972,7.60%,1381,"23,540"
HUDGINS,1785.00,1973,15.40%,2845,"11,569"
FERNANDEZ,1783.00,1974,1.30%,178,"139,302"
FUQUA,1783.00,1974,22.20%,4080,"8,031"
SKIPPER,1782.00,1976,17.80%,3285,"10,010"
TEASLEY,1781.00,1977,44.20%,7604,"4,032"
GROOMS,1780.00,1978,16.70%,3118,"10,640"
SPARROW,1778.00,1979,24.50%,4496,"7,263"
MCCARTER,1777.00,1980,19.20%,3524,"9,262"
RAMOS,1776.00,1981,0.90%,112,"193,096"
ONEIL,1776.00,1981,6.30%,1145,"28,020"
FRIDAY,1774.00,1983,26.30%,4780,"6,750"
WINGATE,1772.00,1984,21.60%,3968,"8,221"
ORANGE,1771.00,1985,44.00%,7612,"4,027"
GITTENS,1771.00,1985,72.20%,11712,"2,452"
STEED,1769.00,1987,18.70%,3462,"9,436"
STUBBLEFIELD,1767.00,1988,20.20%,3728,"8,733"
WIMBUSH,1766.00,1989,89.40%,14012,"1,975"
TITUS,1763.00,1990,11.50%,2172,"15,321"
SHANKS,1763.00,1990,15.40%,2881,"11,436"
CELESTIN,1763.00,1990,77.00%,12426,"2,291"
HECTOR,1761.00,1993,44.00%,7671,"4,000"
DEWBERRY,1760.00,1994,46.30%,8049,"3,800"
GOOD,1759.00,1995,5.10%,929,"34,430"
DEAL,1759.00,1995,8.70%,1629,"20,128"
WAKEFIELD,1757.00,1997,12.50%,2360,"14,058"
DIX,1756.00,1998,18.10%,3365,"9,714"
HARTFIELD,1756.00,1998,53.70%,9180,"3,267"
FLUELLEN,1756.00,1998,93.70%,14567,"1,875"
