Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
DONOVAN,37145.00,539,94.60%,799,"39,270"
HEBERT,37056.00,540,92.00%,781,"40,283"
MAYER,36979.00,541,94.50%,803,"39,111"
COPELAND,36871.00,542,68.60%,565,"53,771"
NASH,36858.00,543,72.20%,601,"51,021"
BRIDGES,36822.00,544,70.50%,579,"52,260"
STAFFORD,36796.00,545,81.10%,689,"45,349"
GOLDEN,36731.00,546,76.80%,648,"47,839"
KENT,36659.00,547,86.10%,733,"42,597"
MCMAHON,36571.00,548,94.80%,819,"38,557"
ROACH,36559.00,549,82.20%,704,"44,454"
WILKINS,36556.00,550,65.20%,532,"56,068"
MAHONEY,36529.00,551,92.60%,795,"39,440"
PECK,36431.00,552,92.40%,796,"39,432"
HULL,36382.00,553,87.30%,754,"41,656"
LOPEZ,36360.00,554,5.90%,21,"621,536"
DOUGHERTY,36341.00,555,95.90%,829,"37,903"
BEARD,36331.00,556,77.10%,660,"47,128"
CONWAY,36300.00,557,83.70%,719,"43,395"
CASE,36259.00,558,93.50%,813,"38,759"
LEACH,36099.00,559,82.70%,714,"43,666"
BARR,36063.00,560,85.00%,738,"42,432"
LEBLANC,36049.00,561,88.10%,767,"40,923"
PENNINGTON,36047.00,562,89.40%,779,"40,339"
HODGE,35960.00,563,71.10%,610,"50,577"
HURLEY,35814.00,564,91.90%,808,"38,971"
ORR,35728.00,565,81.80%,714,"43,666"
FROST,35712.00,566,88.00%,774,"40,582"
STOKES,35670.00,567,60.80%,510,"58,687"
CHRISTIAN,35665.00,568,69.70%,597,"51,177"
GENTRY,35626.00,569,84.10%,741,"42,357"
KRUEGER,35615.00,570,97.10%,863,"36,694"
MEADOWS,35564.00,571,82.90%,725,"42,884"
FRIEDMAN,35559.00,572,96.50%,857,"36,833"
MCCONNELL,35502.00,573,90.60%,800,"39,203"
HUBER,35488.00,574,96.60%,861,"36,729"
WINTERS,35487.00,575,81.10%,712,"43,762"
WEEKS,35322.00,576,86.00%,764,"41,053"
GLOVER,35241.00,577,54.90%,468,"64,180"
HAHN,35148.00,578,91.60%,822,"38,354"
HUMPHREY,35142.00,579,74.00%,655,"47,470"
DUFFY,34974.00,580,92.10%,827,"37,962"
ATKINS,34967.00,581,70.30%,619,"49,754"
PITTMAN,34959.00,582,66.30%,573,"52,689"
MONROE,34876.00,583,65.20%,567,"53,475"
BRADFORD,34796.00,584,67.30%,586,"51,726"
FRY,34764.00,585,92.60%,838,"37,542"
SHANNON,34750.00,586,77.40%,693,"44,902"
BENDER,34698.00,587,90.20%,821,"38,464"
BUCKLEY,34686.00,588,85.20%,772,"40,706"
SLOAN,34632.00,589,81.90%,743,"42,281"
GILLESPIE,34600.00,590,83.60%,758,"41,393"
MOYER,34578.00,591,94.90%,871,"36,421"
PRESTON,34498.00,592,75.20%,681,"45,850"
MERRITT,34465.00,593,77.20%,701,"44,626"
FITZPATRICK,34413.00,594,87.10%,794,"39,501"
MCINTYRE,34363.00,595,81.20%,742,"42,335"
OCONNELL,34339.00,596,96.40%,886,"35,610"
MCDOWELL,34323.00,597,72.20%,652,"47,526"
SCHMITT,34203.00,598,96.80%,898,"35,326"
NOVAK,34167.00,599,96.80%,899,"35,282"
LESTER,34134.00,600,77.70%,709,"43,919"
RASMUSSEN,34042.00,601,96.00%,893,"35,453"
BRANDT,34035.00,602,95.60%,885,"35,616"
MICHAEL,33999.00,603,86.40%,798,"39,369"
CRANE,33997.00,604,91.60%,848,"37,123"
BLACKBURN,33904.00,605,88.90%,826,"38,137"
HOLLOWAY,33685.00,606,60.70%,540,"55,466"
BLEVINS,33562.00,607,91.10%,856,"36,841"
MATHIS,33517.00,608,64.70%,585,"51,796"
MCCULLOUGH,33476.00,609,75.90%,708,"44,123"
GOULD,33363.00,610,88.60%,836,"37,660"
ENGLISH,33355.00,611,74.10%,692,"45,032"
HARRELL,33334.00,612,68.80%,638,"48,471"
KAUFMAN,33315.00,613,95.80%,911,"34,786"
BOONE,33245.00,614,64.30%,587,"51,679"
DICKERSON,33207.00,615,65.10%,602,"51,017"
KRAUSE,33170.00,616,96.60%,932,"34,345"
HARDIN,33148.00,617,79.60%,753,"41,664"
WERNER,33115.00,618,96.40%,931,"34,352"
FREDERICK,33085.00,619,82.90%,791,"39,909"
ANTHONY,33076.00,620,63.40%,580,"52,146"
WOODWARD,33071.00,621,91.30%,875,"36,242"
AYERS,33011.00,622,85.00%,812,"38,836"
KEMP,32971.00,623,73.80%,698,"44,701"
HAAS,32899.00,624,96.70%,941,"34,032"
BRADSHAW,32823.00,625,80.50%,769,"40,794"
SELLERS,32787.00,626,78.90%,755,"41,561"
HENDRICKS,32737.00,627,78.20%,749,"41,879"
MULLEN,32681.00,628,89.70%,867,"36,442"
MCGRATH,32639.00,629,95.90%,943,"34,031"
MCFARLAND,32537.00,630,80.80%,782,"40,244"
BENTLEY,32520.00,631,84.00%,814,"38,714"
NOBLE,32507.00,632,80.80%,784,"40,217"
GLASS,32331.00,633,79.40%,770,"40,724"
CHURCH,32291.00,634,90.90%,890,"35,539"
IRWIN,32284.00,635,93.90%,930,"34,374"
MCCARTY,32210.00,636,90.20%,881,"35,718"
LANDRY,32206.00,637,84.80%,828,"37,961"
CLEMENTS,32199.00,638,86.50%,843,"37,237"
HERNANDEZ,32140.00,639,4.60%,15,"706,372"
LYNN,32109.00,640,86.50%,847,"37,125"
GILMORE,32088.00,641,68.20%,661,"47,050"
WILEY,32079.00,642,67.50%,653,"47,503"
BLANCHARD,32007.00,643,87.10%,860,"36,764"
ANDERSEN,32003.00,644,95.50%,954,"33,508"
DURHAM,31986.00,645,75.50%,740,"42,365"
PITTS,31941.00,646,65.90%,639,"48,462"
PRUITT,31902.00,647,75.10%,736,"42,463"
LEVINE,31900.00,648,92.50%,926,"34,472"
COFFEY,31884.00,649,90.00%,894,"35,442"
BEASLEY,31873.00,650,69.00%,679,"46,179"
BAIRD,31871.00,651,93.10%,935,"34,233"
MACK,31797.00,652,47.30%,441,"67,154"
FARLEY,31764.00,653,85.60%,849,"37,116"
DAUGHERTY,31753.00,654,91.60%,921,"34,650"
ESTES,31728.00,655,88.50%,880,"35,839"
MAYNARD,31705.00,656,88.90%,884,"35,648"
MCCANN,31650.00,657,91.20%,916,"34,692"
CANTRELL,31595.00,658,91.10%,920,"34,674"
VAUGHAN,31588.00,659,84.00%,837,"37,591"
RAYMOND,31580.00,660,82.80%,825,"38,158"
WHITEHEAD,31560.00,661,72.90%,721,"43,310"
HARDING,31512.00,662,82.20%,823,"38,340"
FREY,31504.00,663,96.20%,972,"32,735"
BLACKWELL,31482.00,664,67.70%,673,"46,495"
GOOD,31435.00,665,91.30%,929,"34,430"
BRAUN,31359.00,666,96.00%,973,"32,676"
HATFIELD,31349.00,667,93.70%,956,"33,464"
GLENN,31337.00,668,63.60%,627,"49,241"
HOUSE,31301.00,669,77.30%,776,"40,477"
FRITZ,31299.00,670,94.70%,966,"33,068"
PRINCE,31266.00,671,70.00%,700,"44,640"
PACE,31211.00,672,80.10%,807,"38,975"
WILKERSON,31188.00,673,66.90%,670,"46,605"
HICKMAN,31170.00,674,77.50%,783,"40,224"
HANNA,31106.00,675,87.40%,887,"35,599"
DODSON,30991.00,676,83.10%,842,"37,298"
FRYE,30955.00,677,84.30%,862,"36,716"
COMPTON,30947.00,678,89.00%,910,"34,788"
RITTER,30928.00,679,94.10%,970,"32,864"
ONEAL,30909.00,680,67.00%,680,"46,161"
BEAN,30834.00,681,83.00%,846,"37,145"
KAISER,30821.00,682,94.60%,977,"32,567"
POTTS,30817.00,683,81.80%,832,"37,687"
HAYS,30744.00,684,92.60%,964,"33,194"
LUTZ,30720.00,685,96.20%,996,"31,940"
SHEA,30703.00,686,95.70%,990,"32,069"
ROWLAND,30607.00,687,88.70%,925,"34,498"
LIVINGSTON,30596.00,688,74.70%,766,"40,964"
BIRD,30576.00,689,90.00%,944,"33,962"
STUART,30492.00,690,85.40%,883,"35,701"
MOONEY,30445.00,691,92.40%,968,"32,953"
FLOWERS,30357.00,692,55.90%,560,"54,277"
SHEPARD,30356.00,693,78.40%,815,"38,705"
MCKAY,30356.00,693,82.20%,853,"36,948"
HALEY,30338.00,695,83.30%,869,"36,433"
RIGGS,30292.00,696,89.40%,947,"33,868"
JOYCE,30229.00,697,89.30%,948,"33,843"
LEHMAN,30157.00,698,96.40%,1023,"31,296"
STRONG,30140.00,699,69.40%,718,"43,430"
MADDEN,29887.00,700,86.70%,926,"34,472"
DUNLAP,29881.00,701,77.60%,820,"38,516"
WHITNEY,29836.00,702,87.10%,934,"34,251"
HAYDEN,29821.00,703,82.80%,878,"36,024"
OSBORN,29711.00,704,92.70%,991,"32,044"
SMALL,29633.00,705,64.60%,681,"45,850"
JARVIS,29630.00,706,87.00%,939,"34,050"
MOON,29624.00,707,70.40%,748,"42,062"
DONNELLY,29515.00,708,95.50%,1036,"30,919"
HOUSTON,29514.00,709,54.60%,563,"54,026"
KATZ,29488.00,710,96.30%,1045,"30,615"
DUKE,29480.00,711,87.40%,952,"33,745"
MCINTOSH,29442.00,712,72.80%,777,"40,453"
SNIDER,29442.00,712,93.70%,1018,"31,418"
DAVIES,29380.00,714,91.30%,988,"32,165"
COSTA,29362.00,715,83.40%,900,"35,227"
RIDDLE,29336.00,716,89.80%,975,"32,654"
LOWERY,29315.00,717,70.40%,752,"41,670"
DONAHUE,29301.00,718,93.80%,1026,"31,251"
VOGEL,29294.00,719,96.40%,1052,"30,388"
LEVY,29293.00,720,82.60%,892,"35,464"
STANTON,29273.00,721,84.10%,909,"34,812"
MCCLAIN,29250.00,722,64.20%,688,"45,560"
KUHN,29216.00,723,96.30%,1053,"30,342"
GOLDSTEIN,29200.00,724,96.00%,1050,"30,429"
WITT,29177.00,725,93.00%,1020,"31,360"
SHOEMAKER,29163.00,726,94.80%,1040,"30,756"
MERRILL,29135.00,727,91.70%,1007,"31,758"
PEREZ,29067.00,728,6.00%,29,"488,521"
WINTER,29065.00,729,94.60%,1043,"30,721"
HANEY,29040.00,730,89.00%,976,"32,644"
GOLDBERG,28916.00,731,96.50%,1069,"29,968"
ODELL,28874.00,732,93.30%,1034,"30,951"
FAULKNER,28870.00,733,81.60%,896,"35,389"
MCLEAN,28855.00,734,70.60%,768,"40,871"
RUSH,28811.00,735,76.90%,839,"37,470"
BRAY,28721.00,736,83.10%,923,"34,575"
COSTELLO,28705.00,737,91.80%,1025,"31,266"
DOWNS,28701.00,738,85.70%,955,"33,494"
ROBERSON,28647.00,739,53.80%,569,"53,198"
BURCH,28623.00,740,80.60%,891,"35,521"
GORMAN,28620.00,741,91.50%,1024,"31,285"
CARVER,28611.00,742,90.60%,1014,"31,566"
LANGE,28505.00,743,95.10%,1068,"29,977"
GONZALEZ,28451.00,744,4.80%,23,"597,718"
WORKMAN,28435.00,745,91.30%,1029,"31,151"
JOSEPH,28395.00,746,35.50%,356,"80,030"
MALONEY,28374.00,747,93.20%,1048,"30,434"
ELLISON,28362.00,748,68.40%,756,"41,459"
GUTHRIE,28352.00,749,89.90%,1015,"31,530"
KAPLAN,28328.00,750,96.30%,1090,"29,410"
MERCER,28302.00,751,83.70%,949,"33,797"
GOFF,28295.00,752,89.00%,1001,"31,806"
DALY,28258.00,753,92.90%,1048,"30,434"
CRAMER,28248.00,754,95.20%,1077,"29,666"
MCCALL,28223.00,755,68.50%,761,"41,231"
MOSER,28217.00,756,95.70%,1085,"29,485"
KNOX,28214.00,757,65.70%,724,"42,937"
MIDDLETON,28211.00,758,69.30%,771,"40,708"
CROSBY,28209.00,759,72.60%,811,"38,844"
CARNEY,28189.00,760,87.30%,984,"32,282"
RICHTER,28172.00,761,96.40%,1096,"29,233"
WOODARD,28014.00,762,62.50%,696,"44,830"
SPEARS,27957.00,763,69.50%,785,"40,203"
HOOPER,27922.00,764,81.90%,936,"34,084"
HERRING,27918.00,765,74.70%,841,"37,353"
SANFORD,27887.00,766,78.40%,888,"35,565"
CROWLEY,27828.00,767,91.50%,1051,"30,416"
KESSLER,27827.00,768,96.40%,1112,"28,869"
WALLS,27796.00,769,71.00%,801,"39,166"
BYRNE,27787.00,770,95.90%,1106,"28,963"
CONNOLLY,27760.00,771,96.30%,1116,"28,821"
MCDERMOTT,27753.00,772,94.30%,1086,"29,440"
EVERETT,27726.00,773,71.60%,816,"38,702"
WIGGINS,27674.00,774,57.20%,641,"48,355"
BULLOCK,27589.00,775,64.10%,722,"43,021"
HENDRICKSON,27576.00,776,93.50%,1084,"29,496"
CHILDERS,27573.00,777,91.70%,1063,"30,079"
HELMS,27572.00,778,92.80%,1074,"29,727"
MCMILLAN,27569.00,779,70.90%,810,"38,896"
FINK,27564.00,780,97.00%,1128,"28,417"
FINLEY,27560.00,781,74.70%,854,"36,874"
ASHLEY,27533.00,782,74.40%,852,"37,021"
MCCABE,27445.00,783,93.00%,1083,"29,523"
PEARCE,27421.00,784,90.60%,1054,"30,276"
HARTLEY,27418.00,785,90.70%,1055,"30,236"
ARCHER,27364.00,786,81.90%,958,"33,411"
HENDRIX,27345.00,787,80.40%,941,"34,032"
BEACH,27284.00,788,91.10%,1071,"29,940"
AVERY,27215.00,789,72.70%,840,"37,440"
LANCASTER,27215.00,789,85.90%,1009,"31,686"
BEST,27178.00,791,73.70%,855,"36,862"
JUSTICE,27155.00,792,87.70%,1032,"30,956"
HICKEY,27139.00,793,93.70%,1105,"28,970"
WELSH,27128.00,794,92.90%,1097,"29,217"
DICKSON,27123.00,795,78.20%,915,"34,698"
TRACY,27117.00,796,92.50%,1093,"29,316"
KINNEY,27111.00,797,87.60%,1032,"30,956"
PUGH,26999.00,798,69.80%,817,"38,691"
HOLDEN,26862.00,799,78.90%,940,"34,041"
MARINO,26789.00,800,87.20%,1042,"30,735"
SOLOMON,26787.00,801,62.50%,726,"42,839"
MCPHERSON,26733.00,802,76.90%,913,"34,763"
FLANAGAN,26701.00,803,90.30%,1079,"29,563"
CALHOUN,26687.00,804,64.40%,757,"41,452"
HORNE,26650.00,805,73.40%,873,"36,288"
DELANEY,26647.00,806,85.30%,1027,"31,236"
SPRINGER,26589.00,807,85.60%,1031,"31,044"
SEARS,26579.00,808,84.70%,1019,"31,387"
HAINES,26551.00,809,91.40%,1102,"29,065"
BENTON,26511.00,810,71.60%,851,"37,032"
RICHMOND,26511.00,810,74.20%,882,"35,715"
RITCHIE,26446.00,812,93.10%,1131,"28,397"
DONALDSON,26434.00,813,74.70%,897,"35,387"
GILES,26361.00,814,67.60%,805,"39,002"
COWAN,26332.00,815,81.70%,985,"32,242"
HESTER,26301.00,816,75.90%,919,"34,675"
DOLAN,26249.00,817,96.30%,1179,"27,252"
KERN,26186.00,818,94.80%,1162,"27,634"
CROWE,26173.00,819,89.40%,1095,"29,260"
ENGLAND,26113.00,820,90.50%,1113,"28,861"
SPENCE,26078.00,821,75.70%,928,"34,435"
TUTTLE,26005.00,822,94.70%,1169,"27,460"
VALENTINE,25980.00,823,69.00%,834,"37,669"
PETTY,25976.00,824,75.80%,933,"34,278"
DOHERTY,25972.00,825,96.30%,1191,"26,978"
BYERS,25950.00,826,82.90%,1022,"31,299"
EWING,25905.00,827,78.70%,969,"32,925"
EMERSON,25902.00,828,86.30%,1066,"30,028"
COOLEY,25881.00,829,80.20%,983,"32,287"
HOLCOMB,25867.00,830,90.20%,1120,"28,668"
KENDALL,25848.00,831,87.50%,1082,"29,524"
LAKE,25840.00,832,83.60%,1035,"30,924"
DODD,25747.00,833,85.70%,1065,"30,029"
SLATER,25719.00,834,81.50%,1013,"31,569"
SORENSEN,25658.00,835,96.10%,1201,"26,705"
COOKE,25647.00,836,80.50%,1000,"31,860"
CLAY,25630.00,837,55.40%,677,"46,264"
GUSTAFSON,25619.00,838,96.90%,1213,"26,433"
LYON,25579.00,839,93.60%,1175,"27,337"
NEWELL,25539.00,840,81.50%,1021,"31,317"
SANCHEZ,25460.00,841,5.80%,33,"441,242"
CAMP,25453.00,842,86.50%,1087,"29,432"
CRAFT,25408.00,843,82.90%,1044,"30,653"
BARLOW,25389.00,844,82.60%,1041,"30,749"
SWEET,25381.00,845,87.90%,1111,"28,872"
TRAVIS,25351.00,846,76.00%,960,"33,339"
MADDOX,25304.00,847,72.40%,906,"34,970"
DAVID,25240.00,848,65.30%,818,"38,659"
SHEEHAN,25235.00,849,96.70%,1233,"26,107"
HYDE,25206.00,850,88.10%,1121,"28,604"
PUCKETT,25186.00,851,90.30%,1153,"27,891"
BOGGS,25143.00,852,90.40%,1156,"27,822"
WALLER,25138.00,853,71.80%,904,"35,001"
ONEIL,25128.00,854,89.70%,1145,"28,020"
DWYER,25116.00,855,93.90%,1197,"26,759"
PROCTOR,25068.00,856,72.30%,918,"34,682"
ALBERT,25039.00,857,80.40%,1028,"31,159"
SINGLETON,25033.00,858,48.30%,584,"51,797"
MCNAMARA,25028.00,859,96.60%,1245,"25,896"
SHEPPARD,25019.00,860,70.40%,889,"35,554"
MCKENNA,25018.00,861,95.50%,1226,"26,189"
CHAMBERLAIN,24987.00,862,89.50%,1151,"27,928"
GIBBONS,24870.00,863,85.80%,1104,"28,993"
BARRON,24863.00,864,53.80%,678,"46,196"
FRANKS,24853.00,865,84.20%,1080,"29,531"
HASTINGS,24840.00,866,91.30%,1183,"27,201"
HOLDER,24765.00,867,76.30%,978,"32,466"
FERRELL,24758.00,868,77.00%,987,"32,174"
CRABTREE,24692.00,869,95.20%,1244,"25,929"
MCGOWAN,24689.00,870,78.00%,1010,"31,669"
BERNARD,24617.00,871,67.40%,864,"36,546"
PARK,24616.00,872,30.10%,343,"81,890"
DAILEY,24613.00,873,79.70%,1038,"30,894"
HEWITT,24583.00,874,85.20%,1114,"28,857"
SUTHERLAND,24578.00,875,86.50%,1128,"28,417"
KIDD,24546.00,876,77.00%,998,"31,886"
PIKE,24458.00,877,93.80%,1235,"26,086"
CASSIDY,24414.00,878,93.90%,1240,"26,011"
SWARTZ,24373.00,879,96.30%,1276,"25,307"
SHAFER,24351.00,880,95.50%,1264,"25,498"
GALLOWAY,24350.00,881,72.10%,951,"33,773"
OTT,24289.00,882,95.30%,1265,"25,492"
ROMANO,24280.00,883,88.60%,1171,"27,401"
KENNEY,24217.00,884,89.10%,1184,"27,189"
BOLTON,24172.00,885,75.50%,994,"31,995"
HELLER,24171.00,886,95.30%,1274,"25,371"
FARRIS,24169.00,887,83.50%,1108,"28,928"
ROSENBERG,24169.00,887,95.60%,1280,"25,271"
FINCH,24140.00,889,81.30%,1076,"29,703"
GAY,24115.00,890,73.80%,974,"32,672"
STARR,24077.00,891,85.30%,1135,"28,210"
HOPPER,24058.00,892,89.20%,1192,"26,956"
BOWLING,24055.00,893,92.70%,1243,"25,938"
WARE,24041.00,894,51.50%,667,"46,682"
ODOM,24040.00,895,71.30%,953,"33,717"
MULLER,24024.00,896,89.80%,1198,"26,744"
MEIER,23973.00,897,96.30%,1298,"24,886"
ROLLINS,23949.00,898,70.90%,949,"33,797"
DICKINSON,23930.00,899,91.50%,1230,"26,144"
FORBES,23926.00,900,74.20%,986,"32,228"
DEMPSEY,23926.00,900,90.60%,1215,"26,403"
SHAPIRO,23897.00,902,96.70%,1306,"24,712"
DUDLEY,23880.00,903,68.70%,912,"34,770"
ROSSI,23879.00,904,93.60%,1263,"25,512"
CHANEY,23864.00,905,73.60%,979,"32,433"
PIERSON,23853.00,906,86.00%,1158,"27,730"
LINDSAY,23843.00,907,75.10%,1008,"31,744"
KIRKPATRICK,23825.00,908,91.10%,1229,"26,155"
SCHUMACHER,23819.00,909,96.90%,1315,"24,573"
DENTON,23802.00,910,87.80%,1187,"27,112"
MCGINNIS,23718.00,911,89.20%,1207,"26,578"
PATE,23717.00,912,82.30%,1117,"28,804"
CURRAN,23687.00,913,96.40%,1317,"24,559"
SARGENT,23662.00,914,87.60%,1190,"27,024"
ZIEGLER,23620.00,915,94.00%,1289,"25,138"
NIXON,23590.00,916,65.50%,877,"36,037"
ACKERMAN,23589.00,917,94.90%,1300,"24,862"
CONNOR,23526.00,918,83.70%,1138,"28,107"
RATLIFF,23488.00,919,80.60%,1099,"29,142"
SINGER,23461.00,920,91.60%,1261,"25,599"
BRIGHT,23458.00,921,73.20%,992,"32,042"
DOWNEY,23447.00,922,89.50%,1225,"26,206"
GLEASON,23419.00,923,93.60%,1293,"25,007"
DYE,23392.00,924,84.70%,1163,"27,627"
SAMPSON,23376.00,925,62.80%,844,"37,234"
COUCH,23367.00,926,89.40%,1231,"26,135"
FULTON,23339.00,927,74.10%,1017,"31,513"
COFFMAN,23298.00,928,94.20%,1304,"24,733"
DALE,23273.00,929,80.30%,1103,"28,994"
ELDER,23219.00,930,80.70%,1118,"28,783"
FUNK,23200.00,931,96.50%,1351,"24,032"
STERN,23193.00,932,94.20%,1311,"24,618"
WORLEY,23166.00,933,91.20%,1271,"25,407"
COURTNEY,23148.00,934,86.80%,1202,"26,668"
RUTHERFORD,23133.00,935,84.00%,1167,"27,539"
RANDOLPH,23130.00,936,58.20%,792,"39,742"
SHIRLEY,23120.00,937,84.70%,1176,"27,300"
CASH,23086.00,938,80.80%,1123,"28,572"
MCALLISTER,23026.00,939,80.50%,1122,"28,586"
HAMM,23006.00,940,87.20%,1216,"26,392"
SCHAFER,23004.00,941,96.60%,1366,"23,804"
FISH,23000.00,942,93.50%,1314,"24,612"
DOWNING,22947.00,943,82.30%,1154,"27,879"
BELCHER,22931.00,944,82.10%,1149,"27,947"
BRUNO,22917.00,945,79.80%,1119,"28,729"
KNOWLES,22903.00,946,83.60%,1174,"27,380"
BRITT,22880.00,947,75.80%,1059,"30,200"
SCHULZ,22864.00,948,96.60%,1374,"23,676"
EMERY,22847.00,949,90.20%,1275,"25,338"
ALBRIGHT,22847.00,949,91.60%,1297,"24,942"
HELTON,22834.00,951,92.70%,1310,"24,624"
HOLMAN,22775.00,952,72.30%,1016,"31,514"
ROE,22770.00,953,92.20%,1307,"24,699"
KEY,22735.00,954,71.30%,999,"31,882"
HILTON,22700.00,955,80.80%,1139,"28,098"
HATCH,22683.00,956,88.70%,1262,"25,564"
LUND,22676.00,957,94.50%,1354,"24,001"
DEWITT,22651.00,958,89.00%,1268,"25,448"
BACON,22617.00,959,77.20%,1094,"29,312"
RANKIN,22604.00,960,80.80%,1148,"27,989"
LANGLEY,22600.00,961,85.10%,1208,"26,560"
BLOOM,22544.00,962,94.40%,1362,"23,879"
KURTZ,22478.00,963,95.70%,1383,"23,488"
PADGETT,22426.00,964,90.20%,1301,"24,854"
MAYS,22411.00,965,57.60%,809,"38,914"
FIELD,22402.00,966,91.90%,1329,"24,374"
AKERS,22383.00,967,91.90%,1330,"24,353"
DOTSON,22351.00,968,70.30%,1004,"31,784"
FELDMAN,22351.00,968,96.40%,1401,"23,195"
GOLDMAN,22345.00,970,92.80%,1348,"24,086"
SCHMITZ,22345.00,970,97.20%,1423,"22,984"
WHALEN,22311.00,972,94.40%,1377,"23,642"
GODFREY,22290.00,973,80.50%,1159,"27,700"
MAYO,22211.00,974,67.10%,965,"33,126"
WEBBER,22207.00,975,84.80%,1228,"26,178"
POLLARD,22185.00,976,65.10%,937,"34,079"
HAGEN,22086.00,977,95.30%,1403,"23,175"
TIPTON,22080.00,978,89.20%,1303,"24,767"
ELKINS,22080.00,978,92.20%,1356,"23,953"
CROUCH,22079.00,980,91.40%,1342,"24,146"
LOCKE,22077.00,981,83.30%,1210,"26,516"
CONKLIN,22055.00,982,94.40%,1390,"23,371"
WILLS,22025.00,983,78.60%,1143,"28,036"
DRISCOLL,22021.00,984,95.50%,1413,"23,063"
POST,22020.00,985,95.10%,1406,"23,155"
SIMONS,22014.00,986,87.10%,1281,"25,266"
THOMSON,22010.00,987,91.00%,1341,"24,174"
SWENSON,21977.00,988,96.60%,1442,"22,762"
STEINER,21966.00,989,96.00%,1432,"22,874"
ARTHUR,21964.00,990,80.20%,1172,"27,383"
STOVER,21908.00,991,89.00%,1313,"24,613"
ROSEN,21896.00,992,96.20%,1441,"22,763"
CHRISTOPHER,21866.00,993,76.70%,1124,"28,493"
HEAD,21864.00,994,80.30%,1180,"27,218"
SANTOS,21709.00,995,21.90%,279,"98,993"
HORNER,21672.00,996,93.00%,1393,"23,308"
HOLBROOK,21643.00,997,92.80%,1392,"23,317"
MEEKS,21629.00,998,76.10%,1126,"28,426"
KIMBALL,21627.00,999,94.10%,1421,"22,990"
EGAN,21618.00,1000,96.10%,1458,"22,491"
GREGG,21585.00,1001,84.80%,1267,"25,457"
NEFF,21541.00,1002,95.70%,1455,"22,509"
WOODRUFF,21513.00,1003,83.90%,1258,"25,626"
HUTCHISON,21510.00,1004,92.00%,1389,"23,391"
MAHER,21484.00,1005,95.50%,1456,"22,503"
MACKEY,21471.00,1006,72.20%,1075,"29,718"
MCLEOD,21438.00,1007,72.90%,1088,"29,423"
ESPOSITO,21430.00,1008,94.60%,1446,"22,651"
STAHL,21385.00,1009,96.50%,1471,"22,163"
BRITTON,21368.00,1010,76.30%,1147,"28,001"
MASTERS,21364.00,1011,92.50%,1412,"23,106"
PRITCHARD,21326.00,1012,90.30%,1378,"23,606"
MOSES,21323.00,1013,57.90%,858,"36,814"
CONNELLY,21298.00,1014,93.60%,1443,"22,747"
ROBISON,21266.00,1015,89.40%,1367,"23,785"
YEAGER,21255.00,1016,95.00%,1463,"22,374"
CORBETT,21244.00,1017,82.60%,1252,"25,722"
LOWRY,21232.00,1018,86.60%,1323,"24,506"
LUDWIG,21222.00,1019,96.50%,1485,"21,994"
SPRAGUE,21184.00,1020,95.10%,1466,"22,283"
LAW,21167.00,1021,68.50%,1037,"30,900"
INMAN,21074.00,1022,89.80%,1386,"23,460"
CHERRY,21070.00,1023,60.90%,922,"34,615"
SIEGEL,21060.00,1024,96.90%,1514,"21,725"
GOSS,21023.00,1025,82.60%,1266,"25,464"
MCMANUS,20995.00,1026,91.70%,1430,"22,903"
TOMLINSON,20983.00,1027,87.00%,1345,"24,110"
WILDER,20980.00,1028,69.90%,1067,"30,023"
CROW,20944.00,1029,90.90%,1416,"23,031"
GROVES,20905.00,1030,86.20%,1336,"24,260"
LORD,20887.00,1031,89.90%,1399,"23,221"
OTTO,20861.00,1032,94.80%,1483,"22,001"
GRIMM,20861.00,1032,95.90%,1510,"21,757"
BABCOCK,20855.00,1034,95.80%,1508,"21,769"
OLEARY,20837.00,1035,95.10%,1496,"21,904"
BEATTY,20817.00,1036,82.50%,1283,"25,245"
WINKLER,20803.00,1037,95.50%,1505,"21,783"
PAINTER,20778.00,1038,95.60%,1514,"21,725"
ENGEL,20767.00,1039,96.30%,1530,"21,567"
METCALF,20753.00,1040,88.20%,1381,"23,540"
KOENIG,20750.00,1041,96.00%,1527,"21,606"
CONNELL,20743.00,1042,93.50%,1470,"22,183"
MCDONOUGH,20740.00,1043,97.20%,1542,"21,340"
SEYMOUR,20736.00,1044,84.90%,1327,"24,427"
JEWELL,20731.00,1045,89.60%,1407,"23,143"
SELF,20723.00,1046,90.30%,1426,"22,954"
BURT,20722.00,1047,80.80%,1256,"25,649"
HAMMER,20694.00,1048,94.30%,1491,"21,947"
RUBIN,20686.00,1049,90.10%,1425,"22,969"
PICKETT,20684.00,1050,67.70%,1046,"30,552"
CLEVELAND,20670.00,1051,68.40%,1056,"30,233"
SANDERSON,20667.00,1052,88.10%,1384,"23,469"
STRATTON,20664.00,1053,91.80%,1457,"22,498"
HINKLE,20648.00,1054,91.40%,1449,"22,581"
KRAFT,20645.00,1055,95.70%,1528,"21,579"
BOWER,20628.00,1056,95.00%,1516,"21,705"
DEVINE,20609.00,1057,89.50%,1417,"23,016"
HUTCHINS,20588.00,1058,80.30%,1257,"25,633"
MORIN,20572.00,1059,73.00%,1136,"28,184"
