Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
BURKS,14230.00,1592,54.50%,1232,"26,115"
GROVER,14217.00,1593,85.90%,2010,"16,551"
SIMMS,14189.00,1594,54.00%,1221,"26,296"
CORNETT,14187.00,1595,92.60%,2176,"15,314"
BURNHAM,14187.00,1595,92.70%,2179,"15,299"
SPIVEY,14167.00,1597,69.60%,1615,"20,349"
HAWK,14158.00,1598,87.20%,2045,"16,240"
CALL,14144.00,1599,94.90%,2238,"14,903"
COE,14133.00,1600,84.60%,1989,"16,706"
GRUBB,14122.00,1601,95.80%,2262,"14,740"
MCCORD,14119.00,1602,82.00%,1918,"17,216"
LADD,14119.00,1602,88.80%,2096,"15,898"
ADAMSON,14118.00,1604,87.80%,2065,"16,080"
NUGENT,14094.00,1605,90.40%,2132,"15,599"
LANIER,14090.00,1606,69.80%,1625,"20,181"
DUFF,14078.00,1607,87.30%,2058,"16,119"
BRUNNER,14076.00,1608,93.20%,2207,"15,105"
ARNETT,14060.00,1609,87.70%,2075,"16,027"
BRYSON,14050.00,1610,79.50%,1867,"17,680"
MATTINGLY,14009.00,1611,95.60%,2273,"14,661"
WHITTINGTON,14008.00,1612,81.60%,1924,"17,163"
SYLVESTER,14007.00,1613,75.90%,1784,"18,445"
TIMMONS,14006.00,1614,70.40%,1651,"19,900"
COMER,14002.00,1615,84.30%,2001,"16,619"
UNGER,13999.00,1616,95.40%,2272,"14,668"
KERNS,13995.00,1617,92.60%,2206,"15,113"
TALBOT,13995.00,1617,93.10%,2221,"15,027"
FAY,13992.00,1619,93.30%,2225,"14,992"
LANGSTON,13989.00,1620,73.70%,1731,"18,979"
DOWLING,13982.00,1621,89.70%,2137,"15,581"
COTTRELL,13960.00,1622,85.70%,2043,"16,288"
GANNON,13956.00,1623,95.80%,2286,"14,565"
COREY,13948.00,1624,90.10%,2149,"15,488"
CORMIER,13930.00,1625,84.40%,2012,"16,513"
BEEBE,13926.00,1626,94.00%,2256,"14,813"
BURK,13922.00,1627,92.50%,2215,"15,048"
AMBROSE,13919.00,1628,83.40%,1992,"16,697"
CROWELL,13916.00,1629,81.20%,1931,"17,136"
MARCUS,13904.00,1630,80.10%,1900,"17,360"
RAMOS,13903.00,1631,7.20%,112,"193,096"
TILLEY,13901.00,1632,89.30%,2143,"15,560"
KELLOGG,13896.00,1633,90.80%,2178,"15,302"
HOLLIDAY,13883.00,1634,71.20%,1686,"19,488"
DEMARCO,13871.00,1635,95.90%,2300,"14,463"
WAGONER,13870.00,1636,93.50%,2252,"14,841"
CRAVEN,13858.00,1637,91.50%,2201,"15,149"
BETTS,13844.00,1638,72.10%,1714,"19,209"
BREWSTER,13843.00,1639,74.60%,1770,"18,554"
QUEEN,13842.00,1640,77.40%,1847,"17,881"
TILLMAN,13833.00,1641,47.90%,1110,"28,878"
STJOHN,13824.00,1642,88.30%,2123,"15,663"
OSWALD,13800.00,1643,96.30%,2313,"14,332"
COUGHLIN,13794.00,1644,97.00%,2333,"14,226"
ASHBY,13790.00,1645,82.50%,1985,"16,723"
LORENZ,13789.00,1646,95.10%,2295,"14,501"
KAMINSKI,13788.00,1647,97.20%,2337,"14,190"
SCHULER,13782.00,1648,93.80%,2267,"14,695"
FENTON,13771.00,1649,90.50%,2193,"15,220"
MEEHAN,13767.00,1650,96.00%,2310,"14,348"
CRUZ,13748.00,1651,5.90%,82,"231,065"
NAGEL,13741.00,1652,96.30%,2325,"14,270"
BARGER,13739.00,1653,93.90%,2275,"14,635"
ENNIS,13725.00,1654,85.20%,2061,"16,102"
BARTH,13722.00,1655,96.10%,2322,"14,283"
LOOMIS,13716.00,1656,95.80%,2314,"14,311"
FAUST,13714.00,1657,86.80%,2108,"15,799"
ROLAND,13702.00,1658,73.10%,1752,"18,742"
PEREIRA,13693.00,1659,59.70%,1428,"22,921"
IVERSON,13683.00,1660,89.00%,2168,"15,366"
REARDON,13673.00,1661,95.70%,2320,"14,287"
JEFFERS,13671.00,1662,80.90%,1954,"16,895"
ANDERS,13667.00,1663,88.90%,2165,"15,375"
BLEDSOE,13651.00,1664,76.10%,1841,"17,934"
BAUMANN,13639.00,1665,96.50%,2349,"14,131"
PRESLEY,13621.00,1666,77.00%,1866,"17,687"
HARE,13621.00,1666,86.50%,2114,"15,739"
WOODY,13611.00,1668,75.30%,1825,"18,069"
VERNON,13594.00,1669,78.70%,1911,"17,267"
WAGGONER,13592.00,1670,93.40%,2287,"14,556"
ROWLEY,13579.00,1671,92.00%,2261,"14,760"
WOODALL,13573.00,1672,85.50%,2097,"15,877"
CLEMONS,13555.00,1673,53.70%,1282,"25,265"
GOODE,13555.00,1673,63.90%,1553,"21,226"
MELVIN,13555.00,1673,69.40%,1679,"19,523"
CONN,13550.00,1676,93.10%,2288,"14,553"
HARMAN,13539.00,1677,95.10%,2328,"14,237"
PRESCOTT,13531.00,1678,81.10%,1995,"16,686"
HANNAH,13528.00,1679,70.60%,1717,"19,164"
STUMP,13516.00,1680,95.40%,2340,"14,171"
MEEK,13509.00,1681,92.90%,2289,"14,549"
BURDICK,13506.00,1682,95.60%,2349,"14,131"
CORLEY,13501.00,1683,76.70%,1872,"17,609"
FLOOD,13500.00,1684,81.10%,1998,"16,652"
POWER,13499.00,1685,90.90%,2250,"14,846"
NAYLOR,13497.00,1686,84.70%,2088,"15,930"
ARNDT,13489.00,1687,96.00%,2361,"14,052"
GAGE,13481.00,1688,84.10%,2077,"16,022"
PEDERSON,13481.00,1688,96.10%,2366,"14,030"
NEWCOMB,13452.00,1690,94.50%,2331,"14,230"
TATUM,13451.00,1691,57.70%,1395,"23,300"
WHITLOCK,13442.00,1692,81.00%,2003,"16,603"
PFEIFFER,13433.00,1693,96.80%,2394,"13,870"
PURDY,13428.00,1694,89.60%,2226,"14,987"
MICHAUD,13425.00,1695,93.20%,2303,"14,408"
WHITFIELD,13423.00,1696,47.10%,1125,"28,475"
NEWSOME,13410.00,1697,58.80%,1438,"22,803"
MAIER,13408.00,1698,96.30%,2385,"13,929"
ROARK,13400.00,1699,95.20%,2355,"14,073"
BLISS,13387.00,1700,93.80%,2324,"14,273"
FOOTE,13383.00,1701,83.20%,2063,"16,093"
CUTLER,13379.00,1702,88.70%,2210,"15,087"
LAY,13376.00,1703,74.40%,1832,"17,979"
KEARNS,13376.00,1703,94.00%,2330,"14,234"
WEINSTEIN,13374.00,1705,96.80%,2407,"13,809"
DURBIN,13372.00,1706,95.30%,2364,"14,034"
STEARNS,13369.00,1707,92.60%,2302,"14,444"
PARIS,13365.00,1708,79.50%,1970,"16,813"
BOUDREAUX,13362.00,1709,87.70%,2190,"15,240"
RAPP,13362.00,1709,95.80%,2381,"13,951"
PURVIS,13360.00,1711,81.60%,2028,"16,381"
GODDARD,13346.00,1712,88.10%,2200,"15,157"
FOURNIER,13341.00,1713,93.80%,2335,"14,221"
HUTSON,13332.00,1714,86.40%,2160,"15,430"
LOMBARDI,13322.00,1715,96.30%,2402,"13,832"
BAGLEY,13321.00,1716,79.60%,1979,"16,739"
HAMLIN,13304.00,1717,81.30%,2031,"16,358"
GABRIEL,13302.00,1718,60.40%,1482,"22,013"
MOSELEY,13302.00,1718,79.50%,1981,"16,736"
ABRAHAM,13294.00,1720,51.70%,1250,"25,729"
BAUGHMAN,13292.00,1721,96.00%,2398,"13,847"
GEE,13290.00,1722,55.80%,1363,"23,826"
GRUBER,13287.00,1723,95.60%,2387,"13,903"
MULLIGAN,13281.00,1724,93.30%,2332,"14,229"
MCDONNELL,13279.00,1725,95.60%,2390,"13,892"
ALLEY,13276.00,1726,92.90%,2321,"14,285"
BRUNER,13275.00,1727,86.20%,2163,"15,404"
GRUBBS,13266.00,1728,85.80%,2155,"15,453"
GRANGER,13256.00,1729,79.30%,1986,"16,721"
MOCK,13242.00,1730,87.10%,2194,"15,208"
COVINGTON,13199.00,1731,52.00%,1272,"25,403"
GOLDSMITH,13197.00,1732,81.30%,2046,"16,238"
DEATON,13190.00,1733,95.40%,2404,"13,829"
PERDUE,13161.00,1734,82.50%,2085,"15,958"
SKELTON,13159.00,1735,90.50%,2291,"14,542"
MORELAND,13156.00,1736,76.60%,1921,"17,173"
WILLOUGHBY,13151.00,1737,84.20%,2130,"15,622"
BROWER,13146.00,1738,88.10%,2232,"14,930"
MAHAN,13137.00,1739,87.90%,2231,"14,937"
STODDARD,13135.00,1740,93.20%,2352,"14,096"
HILLIARD,13129.00,1741,67.10%,1675,"19,564"
RUTH,13122.00,1742,84.80%,2150,"15,481"
BARON,13117.00,1743,84.80%,2152,"15,464"
OGLE,13114.00,1744,93.30%,2362,"14,050"
LACEY,13105.00,1745,73.60%,1854,"17,811"
TABOR,13103.00,1746,87.00%,2213,"15,058"
RYDER,13099.00,1747,93.50%,2370,"14,004"
STARKEY,13093.00,1748,90.40%,2297,"14,483"
OUELLETTE,13090.00,1749,97.00%,2455,"13,498"
BURR,13073.00,1750,88.10%,2253,"14,839"
FOSS,13064.00,1751,95.10%,2418,"13,737"
CROUSE,13057.00,1752,95.60%,2430,"13,654"
KRUGER,13054.00,1753,96.00%,2439,"13,599"
PRITCHETT,13038.00,1754,71.10%,1796,"18,350"
MCMAHAN,13034.00,1755,92.60%,2356,"14,071"
ESTEP,13034.00,1755,94.50%,2411,"13,793"
COY,13032.00,1757,83.70%,2142,"15,561"
STRAUSS,13030.00,1758,95.00%,2420,"13,719"
BARTLEY,13019.00,1759,80.60%,2055,"16,154"
